municipio_entrega;municipio_entrega_original
989;Útica
990;Valdivia
991;Valencia
1027;Valle de San José
994;Valle de San Juan
992;Valle del Guamuez/La Hormiga
993;Valledupar
995;Valparaíso
996;Vegachí
997;Vélez
998;Venadillo
999;Venecia
1000;Ventaquemada
1001;Vergara
1002;Versalles
1003;Vetas
1004;Vianí
1005;Victoria
1006;Vigía del Fuerte
1007;Vijes
1008;Villa Caro
1011;Villa de Leyva
1013;Villa de San Diego de Ubate
1012;Villa del Rosario
1014;Villa Garzón/Villa Amazonica
1009;Villa Rica
1015;Villagómez
1016;Villahermosa
1017;Villamaría
1018;Villanueva
1010;Villapinzón
1019;Villarrica
1020;Villavicencio
1021;Villavieja
1022;Villeta
1023;Viotá
1024;Viracachá
1025;Vistahermosa
1026;Viterbo
1028;Yacopí
1029;Yacuanquer
1030;Yaguará
1031;Yalí
1032;Yarumal
1033;Yavaraté
1034;Yolombo
1035;Yondó
1036;Yopal
1037;Yotoco
1038;Yumbo
1039;Zambrano
1040;Zapatoca
1041;Zapayán
1042;Zaragoza
1043;Zarzal
1044;Zetaquira
1045;Zipacón
1046;Zipaquirá
1047;Zona Bananera
